Column1;Column2;Column3
miasto;szerokosc;długosc
Warszawa;52.2297;21.0122
Kraków;50.0647;19.9450
Łódź;51.7592;19.4550
Wrocław;51.1079;17.0385
Poznań;52.4064;16.9252
Gdańsk;54.3520;18.6466
Szczecin;53.4285;14.5528
Bydgoszcz;53.1235;18.0084
Lublin;51.2465;22.5684
Białystok;53.1325;23.1688
Katowice;50.2649;19.0238
Gdynia;54.5189;18.5305
Częstochowa;50.8118;19.1203
Radom;51.4027;21.1471
Sosnowiec;50.2863;19.1041
Toruń;53.0138;18.5984
Kielce;50.8661;20.6286
Rzeszów;50.0412;21.9991
Gliwice;50.2945;18.6714
Zabrze;50.3249;18.7857
Olsztyn;53.7784;20.4801
Bielsko-Biała;49.8224;19.0584
Bytom;50.3484;18.9157
Zielona Góra;51.9355;15.5062
Rybnik;50.0971;18.5416
Ruda Śląska;50.2584;18.8556
Opole;50.6751;17.9213
Tychy;50.1327;18.9977
Gorzów Wielkopolski;52.7290;15.2418
Elbląg;54.1522;19.4045
Dąbrowa Górnicza;50.3181;19.2372
Płock;52.5463;19.7064
Wałbrzych;50.7719;16.2843
Włocławek;52.6480;19.0673
Tarnów;50.0121;20.9858
Chorzów;50.3058;18.9742
Koszalin;54.1944;16.1726
Kalisz;51.7673;18.0849
Legnica;51.2070;16.1555
Grudziądz;53.4846;18.7532
